Identifier	Name	colname	Synonyms	Action	Clinical.Stage	Putative.Target	Targeted.process.pathway	PubChem_CID	PubChem_SMILES	filename	PubChem	remark
88	MS-275	MS-275		targeted	in clinical development	HDAC	chromain  histone acetylation	4261	C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3	MS-275	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/4261"" target= ""_blank"">PubChem</a>"	
94	TGX221	TGX221		targeted	experimental	PI3Kbeta	PI3K signaling	9907093	CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3)N4CCOCC4	TGX221	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9907093"" target= ""_blank"">PubChem</a>"	
5	Sunitinib	Sunitinib	Sutent	targeted	clinically approved	"PDGFRA, PDGFRB, KDR, KIT, FLT3"	RTK signaling	5329102	CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C 	Sunitinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5329102"" target= ""_blank"">PubChem</a>"	Updated
45	Z-LLNle-CHO	Z-LLNle-CHO	Z-L-Norleucine-CHO	targeted	experimental	g-secretase	other	11754711	CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1	Z-LLNle-CHO	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11754711"" target= ""_blank"">PubChem</a>"	Updated
53	CGP-60474	CGP-60474	KIN001-019	targeted	experimental	"CDK1,CDK2,CDK5,CDK7,CDK9"	cell cycle	644215	C1=CC(=CC(=C1)Cl)NC2=NC=CC(=N2)C3=CC(=NC=C3)NCCCO	CGP-60474	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/644215"" target= ""_blank"">PubChem</a>"	
54	CGP-082996	CGP-082996	"CINK4,KIN001-021"	targeted	experimental	CDK4	cell cycle	24825971	CCNC1=CC(=NC(=N1)NC2=CC3=C(C=C2)N(C=C3)CC4=CC=CC=C4)NC5CCC(CC5)O	CGP-082996	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24825971"" target= ""_blank"">PubChem</a>"	
59	WZ-1-84	WZ-1-84	KIN001-123	targeted	experimental	BMX	other	49821040	CCC(=O)N(C)C1=CC=C(C=C1)NC2=NC3=C(C(=N2)NC4CCCN(C4)C(=O)C=C)NC=N3	WZ-1-84	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/49821040"" target= ""_blank"">PubChem</a>"	Compound not found
62	BMS-536924	BMS-536924	KIN001-126	targeted	experimental	IGF1R	IGFR signaling	135440466	CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NC[C@H](C4=CC(=CC=C4)Cl)O)N5CCOCC5	BMS-536924	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/135440466"" target= ""_blank"">PubChem</a>"	
64	CMK	CMK	KIN001-128	targeted	experimental	RSK	ERK MAPK signaling	16663089	CC1=CC=C(C=C1)C2=C(N(C3=NC=NC(=C23)N)CCCO)C(=O)CCl	CMK	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/16663089"" target= ""_blank"">PubChem</a>"	
86	A-443654	A-443654	KIN001-139	targeted	experimental	"AKT1, AKT2, AKT3"	PI3K signaling	10172943	CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N	A-443654	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10172943"" target= ""_blank"">PubChem</a>"	
41	S-Trityl-L-cysteine	S-Trityl-L-cysteine	NSC 83265	targeted	experimental	KIF11	mitosis	76044	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)SC[C@@H](C(=O)O)N	S-Trityl-L-cysteine	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76044"" target= ""_blank"">PubChem</a>"	
60	BI-2536	BI-2536	"NPK33-1-98-1, KIN001-124"	targeted	in clinical development	"PLK1, PLK2, PLK3"	mitosis	11364421	CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C	BI-2536	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11364421"" target= ""_blank"">PubChem</a>"	
52	GNF-2	GNF-2		targeted	experimental	ABL [T315I]	ABL signaling	5311510	C1=CC(=CC(=C1)C(=O)N)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F	GNF-2	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5311510"" target= ""_blank"">PubChem</a>"	
56	WH-4-023	WH-4-023	KIN001-112	targeted	experimental	"SRC family, ABL"	ABL signaling	11844351	CC1=C(C(=CC=C1)C)OC(=O)N(C2=C(C=C(C=C2)OC)OC)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCN(CC5)C	WH-4-023	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11844351"" target= ""_blank"">PubChem</a>"	
111	Salubrinal	SalubriNaN		targeted	experimental	GADD34-PP1C 	other	5717801	C1=CC=C(C=C1)/C=C/C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC3=C2N=CC=C3	Salubrinal	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5717801"" target= ""_blank"">PubChem</a>"	
51	Dasatinib	Dasatinib	"Sprycel, KIN001-005"	targeted	clinically approved	"ABL, SRC, KIT, PDGFR"	ABL signaling	3062316	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO	Dasatinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/3062316"" target= ""_blank"">PubChem</a>"	
106	XMD8-85	XMD8-85		targeted	experimental	MAP2K5 (ERK5)	other	46844147	CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C)OC	XMD8-85	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46844147"" target= ""_blank"">PubChem</a>"	
110	Roscovitine	Roscovitine	Seliciclib	targeted	in clinical development	CDKs	cell cycle	160355	CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3	Roscovitine	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/160355"" target= ""_blank"">PubChem</a>"	
119	Lapatinib	Lapatinib	"Tykerb, Tyverb"	targeted	clinically approved	"ERBB2, EGFR"	EGFR signaling	208908	CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl	Lapatinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/208908"" target= ""_blank"">PubChem</a>"	
17	Cyclopamine	Cyclopamine	11-deoxojervine	targeted	experimental	SMO	other	442972	C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1	Cyclopamine	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/442972"" target= ""_blank"">PubChem</a>"	
32	VX-680	VX-680	"MK-045,MK-0457,VX-68"	targeted	in clinical development	"AURKA, AURKB, AURKC, FLT3, ABL1, JAK2"	mitosis	5494449	CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C	VX-680	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5494449"" target= ""_blank"">PubChem</a>"	
83	JW-7-52-1	JW-7-52-1		targeted	experimental	MTOR	TOR signaling	49836027	CCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)N3C(=O)C=CC4=CN=C5C=CC(=CC5=C43)C6=CC7=CC=CC=C7N=C6)C(F)(F)F	JW-7-52-1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/49836027"" target= ""_blank"">PubChem</a>"	Compound not found
1	Erlotinib	Erlotinib	NA	targeted	clinically approved	EGFR	EGFR signaling	176870	COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC	Erlotinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/176870"" target= ""_blank"">PubChem</a>"	
3	Rapamycin	Rapamycin	"Rapamune, AY-22989,Sirolimus,WY-090217"	targeted	clinically approved	MTOR	TOR signaling	5284616	C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC	Rapamycin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5284616"" target= ""_blank"">PubChem</a>"	Updated
